Date,AAPL,AMZN,GOOGL,MSFT,SPY
2022-01-03,177.93972778320312,170.4044952392578,143.802978515625,322.46234130859375,450.6443786621094
2022-01-04,175.68136596679688,167.52200317382812,143.2158203125,316.9330139160156,450.4935302734375
2022-01-05,171.00830078125,164.35699462890625,136.6456298828125,304.76666259765625,441.843017578125
2022-01-06,168.15357971191406,163.25399780273438,136.61834716796875,302.3584289550781,441.4280090332031
2022-01-07,168.31973266601562,162.5540008544922,135.89382934570312,302.5125427246094,439.6827697753906
2022-01-10,168.33934020996094,161.48599243164062,137.53277587890625,302.7341003417969,439.13568115234375
2022-01-11,171.16470336914062,165.36199951171875,138.59054565429688,303.4181213378906,443.1354675292969
2022-01-12,171.6046600341797,165.20700073242188,140.27114868164062,306.5872802734375,444.3334045410156
2022-01-13,168.33934020996094,161.21400451660156,137.45098876953125,293.6117248535156,438.21112060546875
2022-01-14,169.19969177246094,162.13800048828125,138.337158203125,298.8135681152344,438.3904113769531
2022-01-18,166.00277709960938,158.91749572753906,134.88320922851562,291.5406494140625,430.62664794921875
2022-01-19,162.51260375976562,156.2989959716797,134.0089111328125,292.19573974609375,426.1553039550781
2022-01-20,160.83106994628906,151.66749572753906,132.21475219726562,290.52923583984375,421.4385070800781
2022-01-21,158.7780303955078,142.64300537109375,129.28297424316406,285.16363525390625,413.16546630859375
2022-01-24,158.00572204589844,144.54400634765625,129.73175048828125,285.4912109375,414.9200439453125
2022-01-25,156.20684814453125,139.98599243164062,125.89449310302734,277.900390625,409.8543395996094
2022-01-26,156.11886596679688,138.87249755859375,128.17364501953125,285.8187255859375,408.8260192871094
2022-01-27,155.65939331054688,139.6374969482422,127.94752502441406,288.8337707519531,406.8072509765625
2022-01-28,166.52093505859375,143.97799682617188,132.25787353515625,296.94476318359375,416.91046142578125
2022-01-31,170.8714141845703,149.57350158691406,134.19436645507812,299.56488037109375,424.4194641113281
2022-02-01,170.7052001953125,151.19349670410156,136.5157012939453,297.4263916015625,427.2872619628906
2022-02-02,171.90768432617188,150.6125030517578,146.78680419921875,301.9538269042969,431.43798828125
2022-02-03,169.03341674804688,138.8455047607422,141.91705322265625,290.1920166015625,421.29705810546875
2022-02-04,168.74957275390625,157.63949584960938,142.11839294433594,294.7099304199219,423.2781066894531
2022-02-07,168.0349884033203,157.9355010986328,138.0599365234375,289.903076171875,421.91961669921875
2022-02-08,171.13804626464844,161.4134979248047,138.2563018798828,293.3805236816406,425.3911437988281
2022-02-09,172.5574493408203,161.1894989013672,140.4313201904297,299.7864074707031,431.6172180175781
2022-02-10,168.48529052734375,159.0034942626953,137.48370361328125,291.2806396484375,423.86297607421875
2022-02-11,165.0787811279297,153.2935028076172,133.18179321289062,284.2100524902344,415.5048522949219
2022-02-14,165.313720703125,155.16700744628906,134.41505432128906,284.17144775390625,414.1465148925781
2022-02-15,169.14112854003906,156.510498046875,135.48870849609375,289.440673828125,420.8253479003906
2022-02-16,168.9062042236328,158.10049438476562,136.60894775390625,289.1028137207031,421.29705810546875
2022-02-17,165.313720703125,154.65249633789062,131.45252990722656,280.6372985839844,412.2975769042969
2022-02-18,163.76705932617188,152.60150146484375,129.33404541015625,277.93450927734375,409.6278991699219
2022-02-22,160.85000610351562,150.19749450683594,128.74937438964844,277.7317810058594,405.2319030761719
2022-02-23,156.68978881835938,144.82699584960938,126.5421371459961,270.5403747558594,398.04364013671875
2022-02-24,159.3032989501953,151.35800170898438,131.60330200195312,284.36328125,404.0339050292969
2022-02-25,161.3688201904297,153.7884979248047,133.35728454589844,286.9888916015625,412.94842529296875
2022-02-28,161.63307189941406,153.56300354003906,133.94993591308594,288.4175109863281,411.8918762207031
2022-03-01,159.75364685058594,151.14199829101562,132.96255493164062,284.7108154296875,405.61871337890625
2022-03-02,163.0426788330078,152.05250549316406,133.46839904785156,289.7689208984375,413.08050537109375
2022-03-03,162.71961975097656,147.89849853515625,132.8018798828125,285.6470642089844,411.0240783691406
2022-03-04,159.7242889404297,145.64100646972656,130.8252410888672,279.7974548339844,407.6845397949219
2022-03-07,155.93600463867188,137.4530029296875,125.34254455566406,269.2275695800781,395.6664123535156
2022-03-08,154.1152801513672,136.01449584960938,126.0625991821289,266.27392578125,392.66656494140625
2022-03-09,159.5089111328125,139.2790069580078,132.3262939453125,278.48468017578125,403.1943664550781
2022-03-10,155.17247009277344,146.8175048828125,131.3439483642578,275.67572021484375,401.3736267089844
2022-03-11,151.46249389648438,145.52450561523438,128.805908203125,270.34735107421875,396.2701416015625
2022-03-14,147.43931579589844,141.85299682617188,124.91854095458984,266.8433837890625,393.37408447265625
2022-03-15,151.81491088867188,147.3665008544922,128.13893127441406,277.18157958984375,402.02459716796875
2022-03-16,156.2198944091797,153.10400390625,132.18797302246094,284.1701965332031,410.9391174316406
2022-03-17,157.2281036376953,157.23899841308594,132.74191284179688,284.9714050292969,416.0802917480469
2022-03-18,160.51718139648438,161.25050354003906,135.0096435546875,290.0005187988281,420.6376037597656
2022-03-21,161.88760375976562,161.4915008544922,134.98583984375,288.7746276855469,420.5146484375
2022-03-22,165.2549285888672,164.88900756835938,138.7214813232422,293.50457763671875,425.4351806640625
2022-03-23,166.61566162109375,163.4080047607422,137.14202880859375,289.09320068359375,419.9563293457031
2022-03-24,170.3941192626953,163.64950561523438,140.41151428222656,293.5431823730469,426.2868957519531
2022-03-25,171.03036499023438,164.77349853515625,140.51168823242188,293.1376647949219,428.3686828613281
2022-03-28,171.89178466796875,168.99049377441406,140.2959747314453,299.9140319824219,431.4156799316406
2022-03-29,175.1808319091797,169.31500244140625,141.3373565673828,304.4604797363281,436.7525939941406
2022-03-30,174.0159912109375,166.30099487304688,140.77499389648438,302.96429443359375,434.0557861328125
2022-03-31,170.92266845703125,162.99749755859375,137.9275360107422,297.60693359375,427.37506103515625
2022-04-01,170.62901306152344,163.55999755859375,139.00164794921875,298.67852783203125,428.5862731933594
2022-04-04,174.6717987060547,168.34649658203125,141.79953002929688,304.0357666015625,432.2578125
2022-04-05,171.36318969726562,164.05499267578125,139.4385528564453,300.0877685546875,426.7978210449219
2022-04-06,168.20143127441406,158.75599670410156,135.42868041992188,289.1028137207031,422.5301208496094
2022-04-07,168.50486755371094,157.7845001220703,134.77459716796875,290.9079284667969,424.6592712402344
2022-04-08,166.49815368652344,154.4604949951172,132.19491577148438,286.6606750488281,423.5237121582031
2022-04-11,162.24981689453125,151.1219940185547,127.76753234863281,275.357177734375,416.2847595214844
2022-04-12,164.1194610595703,150.78750610351562,126.66759490966797,272.2682800292969,414.7423400878906
2022-04-13,166.80160522460938,155.54100036621094,128.8292236328125,277.6352844238281,419.49261474609375
2022-04-14,161.7995147705078,151.7064971923828,125.691162109375,270.11572265625,414.2691650390625
2022-04-18,161.5841522216797,152.78500366210938,126.62989807128906,270.7817077636719,414.4394836425781
2022-04-19,163.86497497558594,158.11549377441406,128.94329833984375,275.3957214355469,421.12969970703125
2022-04-20,163.69854736328125,153.9980010986328,126.99042510986328,276.4189453125,420.8173828125
2022-04-21,162.90567016601562,148.29600524902344,123.79136657714844,271.0616760253906,414.5246887207031
2022-04-22,158.37338256835938,144.35000610351562,118.65481567382812,264.51702880859375,403.15045166015625
2022-04-25,159.44039916992188,146.07400512695312,122.06512451171875,270.9747619628906,405.4878234863281
2022-04-26,153.4888153076172,139.39100646972656,117.67739868164062,260.8393249511719,393.7445068359375
2022-04-27,153.26364135742188,138.16700744628906,113.35760498046875,273.387939453125,394.8516540527344
2022-04-28,160.18435668945312,144.59649658203125,117.55094909667969,279.5754699707031,404.82537841796875
2022-04-29,154.32086181640625,124.28150177001953,113.17411804199219,267.8858337402344,389.8647766113281
2022-05-02,154.6243133544922,124.5,115.6273422241211,274.59454345703125,392.2115478515625
2022-05-03,156.11219787597656,124.25350189208984,116.37218475341797,271.99798583984375,394.00946044921875
2022-05-04,162.51412963867188,125.92849731445312,121.2587890625,279.91326904296875,406.0082702636719
2022-05-05,153.45944213867188,116.40699768066406,115.55046844482422,267.7217712402344,391.5775451660156
2022-05-06,154.1848907470703,114.77249908447266,114.79769897460938,265.19268798828125,389.2402038574219
2022-05-09,149.06759643554688,108.78900146484375,111.5887222290039,255.3950653076172,376.7778625488281
2022-05-10,151.46937561035156,108.85900115966797,113.45726013183594,260.1443176269531,377.64837646484375
2022-05-11,143.61700439453125,105.37200164794922,112.67127227783203,251.5049591064453,371.6490173339844
2022-05-12,139.75454711914062,106.93049621582031,111.91899108886719,246.48548889160156,371.2610778808594
2022-05-13,144.2150115966797,113.05500030517578,115.09919738769531,252.05520629882812,380.1370849609375
2022-05-16,142.67591857910156,110.81050109863281,113.50687408447266,252.42202758789062,378.5947265625
2022-05-17,146.3031005859375,115.36849975585938,115.51824188232422,257.557373046875,386.38250732421875
2022-05-18,138.04881286621094,107.11250305175781,110.98223114013672,245.830810546875,370.80682373046875
2022-05-19,134.6470947265625,107.31900024414062,109.47915649414062,244.92135620117188,368.5357360839844
2022-05-20,134.8823699951172,107.59100341796875,108.0152587890625,244.3601837158203,368.6966552734375
2022-05-23,140.29373168945312,107.55699920654297,110.5741195678711,252.18756103515625,375.594970703125
2022-05-24,137.59783935546875,104.0999984741211,105.10133361816406,251.19093322753906,372.727783203125
2022-05-25,137.75466918945312,106.7750015258789,104.93769073486328,253.996826171875,376.02081298828125
2022-05-26,140.95053100585938,111.07749938964844,106.90889739990234,257.2670593261719,383.5342102050781
2022-05-27,146.6952362060547,115.14649963378906,111.39582824707031,264.3687744140625,392.9495849609375
2022-05-31,145.9109344482422,120.20950317382812,112.8294677734375,263.0432434082031,390.7448425292969
2022-06-01,145.78353881835938,121.68399810791016,112.95840454101562,263.5754089355469,387.584228515625
2022-06-02,148.2343292236328,125.51100158691406,116.6583251953125,265.66522216796875,394.9651794433594
2022-06-03,142.51904296875,122.3499984741211,113.60206604003906,261.2532653808594,388.4831848144531
2022-06-06,143.2641143798828,124.79000091552734,115.8628921508789,260.0245666503906,389.6660461425781
2022-06-07,145.78353881835938,123.0,116.18919372558594,263.6528015136719,393.40380859375
2022-06-08,145.04827880859375,121.18000030517578,116.23333740234375,261.6307067871094,389.12664794921875
2022-06-09,139.83294677734375,116.1500015258789,113.8941650390625,256.1930847167969,379.8721008300781
2022-06-10,134.43138122558594,109.6500015258789,110.25028991699219,244.77621459960938,368.85748291015625
2022-06-13,129.28469848632812,103.66999816894531,105.52037811279297,234.39456176757812,354.8526306152344
2022-06-14,130.14736938476562,102.30999755859375,105.84071350097656,236.55218505859375,353.7833557128906
2022-06-15,132.76483154296875,107.66999816894531,108.86473846435547,243.5861358642578,358.8270263671875
2022-06-16,127.50051879882812,103.66000366210938,105.16432189941406,237.0166015625,346.9512939453125
2022-06-17,128.97100830078125,106.22000122070312,106.26522064208984,239.60960388183594,347.69921875
2022-06-21,133.19619750976562,108.68000030517578,110.62965393066406,245.5018310546875,356.4520263671875
2022-06-22,132.68641662597656,108.94999694824219,110.57362365722656,244.9116668701172,355.8057861328125
2022-06-23,135.54898071289062,112.44000244140625,111.3219223022461,250.45562744140625,359.2936706542969
2022-06-24,138.87228393554688,116.45999908447266,117.0079345703125,259.0086364746094,370.71697998046875
2022-06-27,138.87228393554688,113.22000122070312,114.88398742675781,256.2899169921875,369.3009338378906
2022-06-28,134.7353057861328,107.4000015258789,111.08934783935547,248.1529083251953,361.75506591796875
2022-06-29,136.49005126953125,108.91999816894531,110.78585815429688,251.8102264404297,361.4604187011719
2022-06-30,134.0294952392578,106.20999908447266,108.0698013305664,248.4915313720703,358.5237731933594
2022-07-01,136.1959686279297,109.55999755859375,107.84615325927734,251.15225219726562,362.31573486328125
2022-07-05,138.77423095703125,113.5,112.33455657958984,254.3160400390625,363.00006103515625
2022-07-06,140.1074676513672,114.33000183105469,113.6328353881836,257.5670166015625,364.22601318359375
2022-07-07,143.46998596191406,116.33000183105469,117.80929565429688,259.68585205078125,369.6810302734375
2022-07-08,144.14637756347656,115.54000091552734,118.3751449584961,258.96990966796875,369.376953125
2022-07-11,142.01907348632812,111.75,114.728271484375,255.92218017578125,365.1573791503906
2022-07-12,142.98959350585938,109.22000122070312,113.08584594726562,245.43414306640625,361.92608642578125
2022-07-13,142.62692260742188,110.4000015258789,110.44070434570312,244.51499938964844,360.0253601074219
2022-07-14,145.54824829101562,110.62999725341797,109.4627914428711,245.830810546875,359.15106201171875
2022-07-15,147.21478271484375,113.55000305175781,110.86123657226562,248.38516235351562,366.0127258300781
2022-07-18,144.17578125,113.76000213623047,108.1362533569336,245.9952850341797,362.99053955078125
2022-07-19,148.0284423828125,118.20999908447266,112.87706756591797,251.10386657714844,372.7982482910156
2022-07-20,150.02830505371094,122.7699966430664,112.96633911132812,253.7548828125,375.17413330078125
2022-07-21,152.29286193847656,124.62999725341797,113.40274810791016,256.2414855957031,378.99462890625
2022-07-22,151.0576171875,122.41999816894531,107.01551818847656,251.9069366455078,375.4783020019531
2022-07-25,149.94007873535156,121.13999938964844,106.62871551513672,250.42662048339844,375.9344482421875
2022-07-26,148.6166534423828,114.80999755859375,104.15911102294922,243.72157287597656,371.4867248535156
2022-07-27,153.7045135498047,120.97000122070312,112.13320922851562,260.01483154296875,381.13299560546875
2022-07-28,154.2534942626953,122.27999877929688,113.28372192382812,267.4358825683594,385.9132385253906
2022-07-29,159.31195068359375,134.9499969482422,115.36649322509766,271.625244140625,391.5393981933594
2022-08-01,158.33160400390625,135.38999938964844,113.91847229003906,268.9838562011719,390.3798522949219
2022-08-02,156.8611297607422,134.16000366210938,114.18624877929688,265.8974609375,387.8045349121094
2022-08-03,162.86073303222656,139.52000427246094,117.11207580566406,273.2990417480469,393.8773193359375
2022-08-04,162.5469970703125,142.57000732421875,117.2211685180664,274.4407958984375,393.61114501953125
2022-08-05,162.32122802734375,140.8000030517578,116.50707244873047,273.724853515625,392.9458923339844
