trade_date,open,high,low,close,volume
2022-01-04,1818.1871428669135,1830.52958113601,1781.911876269569,1814.8515878651579,33843
2022-01-05,1809.3395168675613,1827.034768866266,1785.4509266693099,1790.7595022689213,28396
2022-01-06,1788.9988246950502,1801.376653468144,1715.1211476004578,1753.794120843627,51795
2022-01-07,1747.4061348720945,1759.6866397591957,1715.8378053064052,1718.2089690742318,29817
2022-01-10,1705.8311403011378,1749.175660071965,1696.5765235058152,1739.4432714726775,29627
2022-01-11,1723.517544673843,1738.5585088727423,1708.6269901169333,1716.9260633043257,22277
2022-01-12,1723.517544673843,1750.7682327518485,1723.517544673843,1740.3280340726128,27474
2022-01-13,1738.3992516047538,1741.2039490465486,1650.5777159351821,1661.044457492416,56747
2022-01-14,1661.044457492416,1674.855601677405,1648.312723679348,1651.851774079089,29322
2022-01-17,1652.736536679024,1661.849591458357,1623.8401901651391,1647.082903665438,27354
2022-01-18,1647.1448370474336,1688.8790888863784,1638.5803350800604,1674.2097249794524,31216
2022-01-19,1697.8594292757214,1697.8594292757214,1671.210379765672,1691.6660910761746,26371
2022-01-20,1695.2051414759155,1751.8211002457715,1695.2051414759155,1742.5576358244496,34014
2022-01-21,1734.134695873066,1763.7653953448971,1726.1806800996483,1756.2449132454476,30813
2022-01-24,1729.71088287339,1755.3689982715118,1708.8658760189157,1725.4640223937008,23986
2022-01-25,1719.093731674167,1739.4432714726775,1708.476580474944,1719.093731674167,25510
2022-01-26,1718.2443595782293,1742.097559272483,1697.8594292757214,1729.71088287339,23905
2022-01-27,1770.4188100964102,1779.0983312017747,1727.056595073584,1738.5585088727423,42665
2022-01-28,1729.71088287339,1741.212796672548,1663.3625355042464,1669.5470260777936,41020
2022-02-07,1681.9248548508876,1693.0463207320736,1636.81080988019,1652.7011461750267,35150
2022-02-08,1653.5151277669672,1657.0453305407086,1583.7250538840756,1627.0784212809024,41713
2022-02-09,1627.1580499148963,1688.1270406764336,1616.4347272036814,1677.4921942252122,33885
2022-02-10,1681.0489398769519,1686.2690392165698,1643.3492054937115,1657.1603496787004,23032
2022-02-11,1643.0041480797365,1681.7479023309006,1628.8479464807726,1636.7842670021919,33746
2022-02-14,1627.9631838808375,1660.6994000784414,1625.5831724870118,1653.3293276209808,20196
2022-02-15,1653.4443467589724,1690.7813284762394,1644.773673279607,1672.7498666895592,27106
2022-02-16,1681.0489398769519,1687.2422780764985,1670.431788677729,1674.4574585074342,14587
2022-02-17,1681.5886450629123,1691.2060145242083,1664.2384504781824,1669.5381784517942,18214
2022-02-18,1661.2568005164005,1688.1093454244349,1650.6661921951759,1687.2422780764985,19385
2022-02-21,1681.0489398769519,1687.153801816505,1653.5770611489627,1660.690552452442,20816
2022-02-22,1645.6672835055417,1646.5431984794775,1592.5903751354267,1599.5357615449182,52299
2022-02-23,1602.6678211486892,1622.654608281226,1592.6434608914228,1616.4701177076788,28112
2022-02-24,1599.65078068291,1604.950508656522,1546.653500946789,1560.8185501717521,65359
2022-02-25,1570.453614885047,1599.8985142108918,1570.453614885047,1591.7410030394888,38979
2022-02-28,1581.123851840266,1589.9183920836224,1563.375514085565,1584.0789589240499,28923
2022-03-01,1594.3422050832985,1648.817038361311,1594.3422050832985,1644.3135967276407,47379
2022-03-02,1627.9631838808375,1637.6867248541257,1614.691744881809,1632.2808253685216,20074
2022-03-03,1633.094806960462,1637.0320005301737,1587.2641042838166,1592.572679883428,31547
2022-03-04,1567.7993270852414,1586.2820177978886,1552.8468391463357,1575.319809184691,31047
2022-03-07,1557.3591284060055,1564.2602766855005,1507.458517769658,1510.289758089451,49156
2022-03-08,1557.1644806340198,1580.769946800292,1532.408823087832,1551.165790206459,57215
2022-03-09,1560.8097025457528,1596.996492883104,1522.773758374537,1574.1519225527763,56434
2022-03-10,1599.65078068291,1611.152694482068,1584.609816484011,1587.6445522017889,36462
2022-03-11,1562.49075148563,1572.2231400849175,1520.0929276967333,1565.153886911435,47727
2022-03-14,1530.6392978879614,1548.334549886666,1504.0964198899042,1504.0964198899042,49007
2022-03-15,1459.8582898931422,1490.8249808908756,1418.2744476961861,1418.2744476961861,89056
2022-03-16,1445.7020882941786,1489.851742030947,1409.4268216968337,1481.9331167615267,77593
2022-03-17,1521.791671888609,1552.7583628863422,1514.4127518051491,1521.9243862785993,68352
2022-03-18,1520.0221466887385,1543.91073688699,1497.266052618404,1510.9887205433997,38349
2022-03-21,1525.33072228835,1526.7905805782432,1499.6814545162274,1507.9008990696257,27877
2022-03-22,1525.2245507763578,1525.2245507763578,1492.0017151487893,1499.672606890228,21054
2022-03-23,1508.5202328895805,1566.029801885371,1501.4421320900985,1550.2721799805242,58067
2022-03-24,1537.7173986874432,1539.4869238873137,1519.4470509987805,1522.614501106549,25815
2022-03-25,1514.713571089127,1534.1783482877022,1490.8249808908756,1495.248793890552,29709
2022-03-28,1437.7392248947615,1472.9527763721837,1419.1592102961215,1469.4137259724428,57542
2022-03-29,1470.0330597923976,1496.5759377904546,1470.0330597923976,1474.8992540920415,25935
2022-03-30,1502.3268946900337,1530.7277741479547,1499.672606890228,1530.7277741479547,42433
2022-03-31,1521.791671888609,1538.2482562474042,1511.8823307693342,1520.9069092886737,25174
2022-04-01,1530.5862121319653,1586.3793416838814,1523.2869206824996,1574.8862755107225,44862
2022-04-06,1550.988837686472,1582.601405382158,1550.988837686472,1561.6059888856946,27820
2022-04-07,1555.412650686148,1579.3012408843995,1548.4230261466596,1561.6059888856946,20196
2022-04-08,1564.2602766855005,1582.57486250416,1562.968523289595,1578.4164782844641,22941
2022-04-11,1566.029801885371,1566.029801885371,1509.4315383675137,1521.791671888609,43864
2022-04-12,1529.754535288026,1581.928985806207,1511.174520689386,1576.6469530845936,41630
2022-04-13,1563.375514085565,1588.148866883752,1549.290093494596,1565.1450392854356,31148
2022-04-14,1581.955528684205,1624.335657221103,1575.0543804047104,1600.535543282845,37650
2022-04-15,1594.5191576032855,1608.4984066822624,1588.9363055976942,1597.8724078570401,21041
2022-04-18,1575.87720962265,1590.8031546835575,1564.2602766855005,1584.4505592160224,19793
2022-04-19,1592.572679883428,1621.7609980552916,1570.8959961850146,1583.9904826640561,24205
2022-04-20,1594.0679286773186,1610.2679318821326,1564.8619152534563,1589.9183920836224,24156
2022-04-21,1583.9020064040626,1597.8812554830395,1566.029801885371,1574.8597326327244,28953
2022-04-22,1559.8364636858241,1581.849357172213,1557.3414331540068,1568.6840896851766,27900
2022-04-25,1548.334549886666,1571.78075878495,1505.8659450897746,1511.174520689386,53658
2022-04-26,1507.0426793476886,1547.4320920347322,1504.0964198899042,1532.8335091358008,44564
2022-04-27,1563.4816855975573,1601.4203058827804,1563.4816855975573,1588.078085875757,57402
2022-04-28,1586.3793416838814,1632.3869968805136,1580.6283847843024,1623.5393708811614,44010
2022-04-29,1624.4241334810965,1635.9260472802546,1602.2873732307169,1617.6822424695902,34885
2022-05-05,1619.115557881485,1654.5060618788946,1618.2131000295512,1625.308896081032,33661
2022-05-06,1605.8352712564572,1609.3831692821975,1575.7621904846585,1586.3793416838814,28596
2022-05-09,1574.8774278847231,1574.8774278847231,1537.7173986874432,1550.1040750865366,30352
2022-05-10,1521.791671888609,1579.265850380402,1508.5290805155798,1562.6588563796176,40119
2022-05-11,1552.7583628863422,1582.3802147321742,1550.1040750865366,1564.2602766855005,30313
2022-05-12,1550.988837686472,1573.1079026848527,1548.334549886666,1559.5444920278455,22038
2022-05-13,1574.8774278847231,1590.7500689275614,1562.49075148563,1573.3202457088373,20731
2022-05-16,1589.9183920836224,1589.9183920836224,1541.849240029141,1555.412650686148,27765
